"year","age","Estimate","Low","High"
"1995","9",2436.78475870189,815.376047427672,7282.43119107388
"1995","10",7254.57311749909,2888.8783195834,18217.7389613038
"1996","1",163589.067643075,56844.8822043824,470779.1100017
"1996","2",127791.158892744,49714.0654435162,328490.139469783
"1996","3",69495.7817961344,30242.1320367028,159699.841320529
"1996","4",7846.8241644693,3366.39706053649,18290.3704942894
"1996","5",36711.1559982626,16193.2606387218,83226.5350874484
"1996","6",32796.1526303326,14338.9390010584,75011.6607144139
"1996","7",6751.00085828341,2496.14750680342,18258.5413980234
"1996","8",26447.8634365096,11122.4596129249,62889.8197610369
"1996","9",7479.51939389467,2593.24452519852,21572.6707682392
"1996","10",4087.42936468062,1319.37598158326,12662.8641452187
"1997","1",209986.408998286,72653.3484181543,606913.417262095
"1997","2",116998.799933756,43556.8415748815,314272.538848022
"1997","3",77826.9903463496,31355.6007353806,193172.520516765
"1997","4",32032.1243687232,12750.7184956962,80470.5234391051
"1997","5",3744.32065862577,1433.51036888348,9780.14355454676
"1997","6",17039.2117549212,6600.80378090773,43984.7550185953
"1997","7",14831.6469854207,5407.40770012041,40680.8150040621
"1997","8",2861.48096494084,881.441482734553,9289.41225606536
"1997","9",12039.1334607151,4277.80779159217,33882.0118963233
"1997","10",4180.8586845618,1257.59913547548,13899.1661549346
"1998","1",91081.5246021063,31295.2953264107,265082.787598527
"1998","2",152418.631776109,58131.9424105812,399632.944456242
"1998","3",65517.0723062316,25816.3840852015,166269.867593135
"1998","4",40649.2883942607,15794.5609466098,104616.054383864
"1998","5",13809.2177668135,5158.96186858102,36963.7342141722
"1998","6",1335.50750700547,466.828747814362,3820.6308193711
"1998","7",6262.08213299616,2126.3102015861,18442.1222318074
"1998","8",5282.25776661983,1740.63552313999,16029.919384089
"1998","9",985.533192516655,259.716291469764,3739.75643982714
"1998","10",4659.3088317178,1523.19542948379,14252.3791557598
"1999","1",112912.968621816,39740.312634604,320816.260310181
"1999","2",60082.4859780404,22349.5318351747,161520.391027609
"1999","3",86810.3875221092,34397.7480683452,219085.370552902
"1999","4",31387.4727463351,11949.6391246885,82443.7822031389
"1999","5",15837.7548479165,5825.09471272791,43061.0129093051
"1999","6",4540.58856103385,1591.49046854459,12954.4881908376
"1999","7",518.565513652808,156.406422288546,1719.30402866644
"1999","8",1867.88409958033,586.652733577742,5947.28501167489
"1999","9",1562.32360342093,472.777915758303,5162.79411632666
"1999","10",1337.64930918127,396.830787541547,4508.98904653612
"2000","1",430186.003918203,168682.674753489,1097089.53950106
"2000","2",76300.0803428221,30169.587697482,192965.920472523
"2000","3",29604.8558810464,11984.5793562984,73131.2685811471
"2000","4",36070.6724550614,14489.4455136971,89795.9421656529
"2000","5",9891.39088824949,3732.49303784939,26212.9393710856
"2000","6",5182.91249502577,1910.91454701093,14057.448028282
"2000","7",1057.35396882374,346.451769265685,3226.99294553165
"2000","8",159.813851632426,44.5506891070049,573.290058706977
"2000","9",492.152818005211,144.49623217614,1676.26790417076
"2000","10",629.79617540454,193.841733389611,2046.22201637536
"2001","1",89714.2624248152,34680.2762001726,232081.452753497
"2001","2",351464.981672802,160085.581142373,771634.97462275
"2001","3",43220.431568365,19317.372484033,96700.8171789278
"2001","4",12797.6386531386,5510.92851146261,29719.049114074
"2001","5",12487.280490949,5329.77935563007,29256.7784996421
"2001","6",2587.20400064678,1040.90091959328,6430.60680893449
"2001","7",1472.13549560624,556.336525297705,3895.45323536709
"2001","8",251.275831346007,79.3211282692413,795.999058464112
"2001","9",48.8645839759387,12.7699954894694,186.981081482025
"2001","10",232.212571820605,74.1287773187365,727.418965507616
"2002","1",94324.2336217773,37573.5635473633,236790.450741263
"2002","2",61278.7771595564,27267.4616195952,137713.168264701
